Date,PurchasePrice,ClosingCosts,SaleProceeds,CostOfSale,UnleveredCashFlow,LoanProceeds,LoanOriginationFee,LoanPayoff,LeveredCashFlow
2021-03-31,-20000000.0,-100000.0,0.0,0.0,-20100000.0,14000000.0,-140000.0,0.0,-6240000.0
2021-04-30 00:00:00,0.0,0.0,0.0,0.0,93466.66666666667,0.0,0.0,0.0,22530.72329104267
2021-05-31 00:00:00,0.0,0.0,0.0,0.0,93852.06988191548,0.0,0.0,0.0,22916.126506291475
2021-06-30 00:00:00,0.0,0.0,0.0,0.0,94238.87834400673,0.0,0.0,0.0,23302.93496838273
2021-07-31 00:00:00,0.0,0.0,0.0,0.0,94627.09693282793,0.0,0.0,0.0,23691.15355720393
2021-08-31 00:00:00,0.0,0.0,0.0,0.0,95016.73054477778,0.0,0.0,0.0,24080.787169153773
2021-09-30 00:00:00,0.0,0.0,0.0,0.0,95407.78409282124,0.0,0.0,0.0,24471.840717197236
2021-10-31 00:00:00,0.0,0.0,0.0,0.0,95800.26250654492,0.0,0.0,0.0,24864.31913092092
2021-11-30 00:00:00,0.0,0.0,0.0,0.0,96194.17073221217,0.0,0.0,0.0,25258.227356588162
2021-12-31 00:00:00,0.0,0.0,0.0,0.0,96589.51373281913,0.0,0.0,0.0,25653.57035719513
2022-01-31 00:00:00,0.0,0.0,0.0,0.0,96986.29648815015,0.0,0.0,0.0,26050.35311252615
2022-02-28 00:00:00,0.0,0.0,0.0,0.0,97384.5239948339,0.0,0.0,0.0,26448.580619209897
2022-03-31 00:00:00,0.0,0.0,0.0,0.0,82399.58588178425,0.0,0.0,0.0,11463.64250616025
2022-04-30 00:00:00,0.0,0.0,0.0,0.0,82760.71794871795,0.0,0.0,0.0,11824.77457309395
2022-05-31 00:00:00,0.0,0.0,0.0,0.0,83163.30985851907,0.0,0.0,0.0,12227.366482895071
2022-06-30 00:00:00,0.0,0.0,0.0,0.0,83567.36667575705,0.0,0.0,0.0,12631.423300133043
2022-07-31 00:00:00,0.0,0.0,0.0,0.0,83972.8934821283,0.0,0.0,0.0,13036.9501065043
2022-08-31 00:00:00,0.0,0.0,0.0,0.0,84379.89537651346,0.0,0.0,0.0,13443.952000889461
2022-09-30 00:00:00,0.0,0.0,0.0,0.0,84788.3774750344,0.0,0.0,0.0,13852.434099410399
2022-10-31 00:00:00,0.0,0.0,0.0,0.0,85198.34491111193,0.0,0.0,0.0,14262.401535487923
2022-11-30 00:00:00,0.0,0.0,0.0,0.0,85609.80283552318,0.0,0.0,0.0,14673.859459899177
2022-12-31 00:00:00,0.0,0.0,0.0,0.0,86022.75641645983,0.0,0.0,0.0,15086.813040835827
2023-01-31 00:00:00,0.0,0.0,0.0,0.0,86437.21083958597,0.0,0.0,0.0,15501.267463961965
2023-02-28 00:00:00,0.0,0.0,0.0,0.0,86853.17130809615,0.0,0.0,0.0,15917.227932472146
2023-03-31 00:00:00,0.0,0.0,0.0,0.0,87270.64304277411,0.0,0.0,0.0,16334.699667150111
2023-04-30 00:00:00,0.0,0.0,0.0,0.0,103033.44666666668,0.0,0.0,0.0,32097.50329104268
2023-05-31 00:00:00,0.0,0.0,0.0,0.0,103453.95666668101,0.0,0.0,0.0,32518.01329105701
2023-06-30 00:00:00,0.0,0.0,0.0,0.0,103875.99370133589,0.0,0.0,0.0,32940.05032571188
2023-07-31 00:00:00,0.0,0.0,0.0,0.0,104299.56306235938,0.0,0.0,0.0,33363.61968673537
2023-08-31 00:00:00,0.0,0.0,0.0,0.0,104724.67005936393,0.0,0.0,0.0,33788.72668373992
2023-09-30 00:00:00,0.0,0.0,0.0,0.0,105151.32001990546,0.0,0.0,0.0,34215.37664428145
2023-10-31 00:00:00,0.0,0.0,0.0,0.0,105579.51828954347,0.0,0.0,0.0,34643.57491391947
2023-11-30 00:00:00,0.0,0.0,0.0,0.0,106009.27023190097,0.0,0.0,0.0,35073.326856276966
2023-12-31 00:00:00,0.0,0.0,0.0,0.0,106440.5812287247,0.0,0.0,0.0,35504.63785310069
2024-01-31 00:00:00,0.0,0.0,0.0,0.0,106873.45667994548,0.0,0.0,0.0,35937.513304321474
2024-02-29 00:00:00,0.0,0.0,0.0,0.0,107307.90200373884,0.0,0.0,0.0,36371.95862811484
2024-03-31 00:00:00,0.0,0.0,0.0,0.0,107743.92263658564,0.0,0.0,0.0,36807.97926096164
2024-04-30 00:00:00,0.0,0.0,0.0,0.0,108139.90803333338,0.0,0.0,0.0,37203.96465770938
2024-05-31 00:00:00,0.0,0.0,0.0,0.0,108579.09566725706,0.0,0.0,0.0,37643.15229163306
2024-06-30 00:00:00,0.0,0.0,0.0,0.0,109019.87503012086,0.0,0.0,0.0,38083.93165449686
2024-07-31 00:00:00,0.0,0.0,0.0,0.0,109462.25163223947,0.0,0.0,0.0,38526.30825661546
2024-08-31 00:00:00,0.0,0.0,0.0,0.0,109906.23100254012,0.0,0.0,0.0,38970.28762691612
2024-09-30 00:00:00,0.0,0.0,0.0,0.0,110351.81868862442,0.0,0.0,0.0,39415.87531300042
2024-10-31 00:00:00,0.0,0.0,0.0,0.0,110799.02025683074,0.0,0.0,0.0,39863.07688120674
2024-11-30 00:00:00,0.0,0.0,0.0,0.0,111247.84129229643,0.0,0.0,0.0,40311.89791667243
2024-12-31 00:00:00,0.0,0.0,0.0,0.0,111698.28739902054,0.0,0.0,0.0,40762.34402339654
2025-01-31 00:00:00,0.0,0.0,0.0,0.0,112150.36419992674,0.0,0.0,0.0,41214.42082430274
2025-02-28 00:00:00,0.0,0.0,0.0,0.0,112604.07733692616,0.0,0.0,0.0,41668.133961302156
2025-03-31 00:00:00,0.0,0.0,0.0,0.0,113059.43247098073,0.0,0.0,0.0,42123.48909535672
2025-04-30 00:00:00,0.0,0.0,0.0,0.0,113473.98696216675,0.0,0.0,0.0,42538.04358654274
2025-05-31 00:00:00,0.0,0.0,0.0,0.0,113932.64314973835,0.0,0.0,0.0,42996.69977411434
2025-06-30 00:00:00,0.0,0.0,0.0,0.0,114392.95843219142,0.0,0.0,0.0,43457.01505656741
2025-07-31 00:00:00,0.0,0.0,0.0,0.0,114854.93854732791,0.0,0.0,0.0,43918.99517170391
2025-08-31 00:00:00,0.0,0.0,0.0,0.0,115318.58925231983,0.0,0.0,0.0,44382.645876695824
2025-09-30 00:00:00,0.0,0.0,0.0,0.0,115783.9163237738,0.0,0.0,0.0,44847.9729481498
2025-10-31 00:00:00,0.0,0.0,0.0,0.0,116250.92555779606,0.0,0.0,0.0,45314.98218217206
2025-11-30 00:00:00,0.0,0.0,0.0,0.0,116719.62277005702,0.0,0.0,0.0,45783.67939443301
2025-12-31 00:00:00,0.0,0.0,0.0,0.0,117190.01379585669,0.0,0.0,0.0,46254.07042023269
2026-01-31 00:00:00,0.0,0.0,0.0,0.0,117662.10449018986,0.0,0.0,0.0,46726.16111456585
2026-02-28 00:00:00,0.0,0.0,0.0,0.0,118135.90072781192,0.0,0.0,0.0,47199.957352187914
2026-03-31 00:00:00,0.0,0.0,0.0,0.0,118611.4084033043,0.0,0.0,0.0,47675.46502768029
2026-04-30 00:00:00,0.0,0.0,0.0,0.0,119045.3361447409,0.0,0.0,0.0,48109.392769116894
2026-05-31 00:00:00,0.0,0.0,0.0,0.0,119524.28445935399,0.0,0.0,0.0,48588.34108372999
2026-06-30 00:00:00,0.0,0.0,0.0,0.0,120004.9620152008,0.0,0.0,0.0,49069.0186395768
2026-07-31 00:00:00,0.0,0.0,0.0,0.0,120487.37478683027,0.0,0.0,0.0,49551.43141120627
2026-08-31 00:00:00,0.0,0.0,0.0,0.0,120971.52876894976,0.0,0.0,0.0,50035.58539332576
2026-09-30 00:00:00,0.0,0.0,0.0,0.0,121457.42997649232,0.0,0.0,0.0,50521.486600868324
2026-10-31 00:00:00,0.0,0.0,0.0,0.0,121945.0844446839,0.0,0.0,0.0,51009.1410690599
2026-11-30 00:00:00,0.0,0.0,0.0,0.0,122434.49822911114,0.0,0.0,0.0,51498.55485348713
2026-12-31 00:00:00,0.0,0.0,0.0,0.0,122925.67740578883,0.0,0.0,0.0,51989.73403016482
2027-01-31 00:00:00,0.0,0.0,0.0,0.0,123418.62807122812,0.0,0.0,0.0,52482.68469560411
2027-02-28 00:00:00,0.0,0.0,0.0,0.0,123913.35634250467,0.0,0.0,0.0,52977.41296688067
2027-03-31 00:00:00,0.0,0.0,0.0,0.0,124409.86835732724,0.0,0.0,0.0,53473.92498170325
2027-04-30 00:00:00,0.0,0.0,0.0,0.0,124864.00704197826,0.0,0.0,0.0,53928.06366635425
2027-05-31 00:00:00,0.0,0.0,0.0,0.0,125364.1050398946,0.0,0.0,0.0,54428.161664270585
2027-06-30 00:00:00,0.0,0.0,0.0,0.0,125866.00531896901,0.0,0.0,0.0,54930.061943345005
2027-07-31 00:00:00,0.0,0.0,0.0,0.0,126369.71410013133,0.0,0.0,0.0,55433.77072450732
2027-08-31 00:00:00,0.0,0.0,0.0,0.0,126875.23762528996,0.0,0.0,0.0,55939.29424966595
2027-09-30 00:00:00,0.0,0.0,0.0,0.0,127382.58215740195,0.0,0.0,0.0,56446.63878177795
2027-10-31 00:00:00,0.0,0.0,0.0,0.0,127891.75398054288,0.0,0.0,0.0,56955.81060491888
2027-11-30 00:00:00,0.0,0.0,0.0,0.0,128402.75939997713,0.0,0.0,0.0,57466.81602435313
2027-12-31 00:00:00,0.0,0.0,0.0,0.0,128915.60474222846,0.0,0.0,0.0,57979.66136660446
2028-01-31 00:00:00,0.0,0.0,0.0,0.0,129430.29635515079,0.0,0.0,0.0,58494.352979526775
