,MonthNum,YearNum,YearsFrac,YearsFloor,GrossPotentialRent,GeneralVacancy,NetRentalRevenue,OtherIncome,EffectiveGrossRevenue,OperatingExpenses,NetOperatingIncome,CapitalReserve,CapitalImprovements,CashFlowBeforeDebtService,InterestPayment,PrincipalPayment,CashFlowAfterDebtService
2021-04-01,1,1,0.0,0.0,160000.0,-11200.000000000002,148800.0,20000.0,168800.0,-73333.33333333333,95466.66666666667,-2000.0,0.0,93466.66666666667,-52500.0,-18435.943375624003,22530.72329104267
2021-05-01,2,1,0.08333333333333333,0.0,160523.79836515183,-11236.66588556063,149287.1324795912,20049.325395446074,169336.45787503727,-73484.3879931218,95852.06988191548,-2000.0,0.0,93852.06988191548,-52430.86521234141,-18505.078163282597,22916.126506291475
2021-06-01,3,1,0.16666666666666666,0.0,161049.3115098495,-11273.451805689467,149775.85970416004,20098.772440623936,169874.63214478397,-73635.75380077724,96238.87834400673,-2000.0,0.0,94238.87834400673,-52361.4711692291,-18574.4722063949,23302.93496838273
2021-07-01,4,1,0.25,0.0,161576.545047835,-11310.358153348452,150266.18689448657,20148.34143555466,170414.52833004124,-73787.43139721331,96627.09693282793,-2000.0,0.0,94627.09693282793,-52291.81689845512,-18644.12647716888,23691.15355720393
2021-08-01,5,1,0.3333333333333333,0.0,162105.50461122836,-11347.385322785985,150758.11928844237,20198.03268099922,170956.1519694416,-73939.42142466381,97016.73054477778,-2000.0,0.0,95016.73054477778,-52221.90142416574,-18714.04195145826,24080.787169153773
2021-09-01,6,1,0.4166666666666667,0.0,162636.19585058757,-11384.53370954113,151251.66214104643,20247.846478460368,171499.50861950679,-74091.72452668555,97407.78409282124,-2000.0,0.0,95407.78409282124,-52151.723766847776,-18784.219608776228,24471.840717197236
2021-10-01,7,1,0.5,0.0,163168.62443496913,-11421.80371044784,151746.8207245213,20297.783130184438,172044.60385470573,-74244.3413481608,97800.26250654492,-2000.0,0.0,95800.26250654492,-52081.28294331486,-18854.660432309145,24864.31913092092
2021-11-01,8,1,0.5833333333333334,0.0,163702.79605198852,-11459.195723639197,152243.60032834933,20347.842939163187,172591.4432675125,-74397.27253530035,98194.17073221217,-2000.0,0.0,96194.17073221217,-52010.5779666937,-18925.3654089303,25258.227356588162
2021-12-01,9,1,0.6666666666666666,0.0,164238.71640788112,-11496.71014855168,152742.00625932944,20398.026209135627,173140.03246846507,-74550.51873564594,98589.51373281913,-2000.0,0.0,96589.51373281913,-51939.60784641022,-18996.335529213786,25653.57035719513
2022-01-01,10,1,0.75,0.0,164776.39122756288,-11534.347385929403,153242.04384163348,20448.333244589874,173690.37708622337,-74704.08059807321,98986.29648815015,-2000.0,0.0,96986.29648815015,-51868.371588175665,-19067.571787448338,26050.35311252615
2022-02-01,11,1,0.8333333333333334,0.0,165315.82625469172,-11572.107837828422,153743.7184168633,20498.764350764995,174242.4827676283,-74857.9587727944,99384.5239948339,-2000.0,0.0,97384.5239948339,-51796.86819397273,-19139.07518165127,26448.580619209897
2022-03-01,12,1,0.9166666666666666,0.0,165857.02725172878,-11609.991907621015,154247.03534410778,20549.319833652862,174796.35517776065,-75012.153911361,99784.20126639964,-2000.0,-15384.615384615385,82399.58588178425,-51725.09666204155,-19210.846713582454,11463.64250616025
2022-04-01,13,2,1.0,1.0,166400.0,-11648.000000000002,154752.0,20600.0,175352.0,-75166.66666666666,100185.33333333334,-2040.0,-15384.615384615385,82760.71794871795,-51653.05598686561,-19282.88738875839,11824.77457309395
2022-05-01,14,2,1.0833333333333333,1.0,166944.7502997579,-11686.132520983054,155258.61777877485,20650.805157309456,175909.4229360843,-75321.49769294984,100587.92524313446,-2040.0,-15384.615384615385,83163.30985851907,-51580.74515915777,-19355.198216466233,12227.366482895071
2022-06-01,15,2,1.1666666666666667,1.0,167491.28397024347,-11724.389877917045,155766.89409232643,20701.73561384266,176468.6297061691,-75476.64764579666,100991.98206037244,-2040.0,-15384.615384615385,83567.36667575705,-51508.163165846025,-19427.78020977798,12631.423300133043
2022-07-01,16,2,1.25,1.0,168039.60684974844,-11762.772479482392,156276.83437026603,20752.7916786213,177029.62604888732,-75632.11718214363,101397.5088667437,-2040.0,-15384.615384615385,83972.8934821283,-51435.308990059355,-19500.63438556465,13036.9501065043
2022-08-01,17,2,1.3333333333333333,1.0,168589.7247956775,-11801.280735697426,156788.44405998007,20803.973661429194,177592.41772140926,-75787.90696028041,101804.51076112885,-2040.0,-15384.615384615385,84379.89537651346,-51362.18161111349,-19573.761764510513,13443.952000889461
2022-09-01,18,2,1.4166666666666667,1.0,169141.64368461107,-11839.915057922777,157301.7286266883,20855.28187281418,178157.01049950247,-75944.01763985268,102212.99285964979,-2040.0,-15384.615384615385,84788.3774750344,-51288.780004496584,-19647.16337112742,13852.434099410399
2022-10-01,19,2,1.5,1.0,169695.3694123679,-11878.675858865754,157816.69355350215,20906.716624089975,178723.41017759213,-76100.44988186481,102622.96029572732,-2040.0,-15384.615384615385,85198.34491111193,-51215.10314185485,-19720.84023376915,14262.401535487923
2022-11-01,20,2,1.5833333333333333,1.0,170250.9078940681,-11917.563552584768,158333.34434148335,20958.278227338084,179291.62256882142,-76257.20434868285,103034.41822013857,-2040.0,-15384.615384615385,85609.80283552318,-51141.14999097822,-19794.79338464578,14673.859459899177
2022-12-01,21,2,1.6666666666666667,1.0,170808.26506419637,-11956.578554493746,158851.68650970262,21009.966995409693,179861.6535051123,-76414.28170403709,103447.37180107522,-2040.0,-15384.615384615385,86022.75641645983,-51066.919515785805,-19869.0238598382,15086.813040835827
2023-01-01,22,2,1.75,1.0,171367.4468766654,-11995.72128136658,159371.72559529883,21061.78324192757,180433.5088372264,-76571.68261302504,103861.82622420136,-2040.0,-15384.615384615385,86437.21083958597,-50992.41067631141,-19943.532699312593,15501.267463961965
2023-02-01,23,2,1.8333333333333333,1.0,171928.45930487942,-12034.992151341561,159893.46715353784,21113.72728128795,181007.1944348258,-76729.40774211426,104277.78669271154,-2040.0,-15384.615384615385,86853.17130809615,-50917.62242868899,-20018.32094693501,15917.227932472146
2023-03-01,24,2,1.9166666666666667,1.0,172491.30834179794,-12074.391583925857,160416.91675787207,21165.79942866245,181582.71618653453,-76887.45775914502,104695.2584273895,-2040.0,-15384.615384615385,87270.64304277411,-50842.553725137994,-20093.38965048601,16334.699667150111
2023-04-01,25,3,2.0,2.0,173056.00000000003,-12113.920000000004,160942.08000000002,21218.0,182160.08000000002,-77045.83333333333,105114.24666666669,-2080.8,0.0,103033.44666666668,-50767.20351394867,-20168.739861675334,32097.50329104268
2023-05-01,26,3,2.0833333333333335,2.0,173622.54031174822,-12153.577821822377,161468.96248992585,21270.329312028738,182739.2918019546,-77204.53513527357,105534.75666668102,-2080.8,0.0,103453.95666668101,-50691.57073946739,-20244.372636156615,32518.01329105701
2023-06-01,27,3,2.1666666666666665,2.0,174190.93532905323,-12193.365473033728,161997.56985601952,21322.78768225794,183320.35753827746,-77363.56383694157,105956.79370133589,-2080.8,0.0,103875.99370133589,-50615.65434208179,-20320.289033542213,32940.05032571188
2023-07-01,28,3,2.25,2.0,174761.19112373836,-12233.283378661687,162527.90774507666,21375.375428979936,183903.2831740566,-77522.92011169721,106380.36306235938,-2080.8,0.0,104299.56306235938,-50539.45325820602,-20396.490117417983,33363.61968673537
2023-08-01,29,3,2.3333333333333335,2.0,175333.3137875046,-12273.331965125322,163059.98182237928,21428.092871272074,184488.07469365135,-77682.60463428742,106805.47005936393,-2080.8,0.0,104724.67005936393,-50462.9664202657,-20472.976955358303,33788.72668373992
2023-09-01,30,3,2.4166666666666665,2.0,175907.30943199553,-12313.511660239688,163593.79777175584,21480.940328998604,185074.73810075445,-77842.61808084899,107232.12001990546,-2080.8,0.0,105151.32001990546,-50386.192756683115,-20549.75061894089,34215.37664428145
2023-10-01,31,3,2.5,2.0,176483.18418886262,-12353.822893220386,164129.36129564224,21533.918122812673,185663.2794184549,-78002.96112891144,107660.31828954347,-2080.8,0.0,105579.51828954347,-50309.13119186208,-20626.812183761926,34643.57491391947
2023-11-01,32,3,2.5833333333333335,2.0,177060.9442098308,-12394.266094688157,164666.67811514265,21587.026574158226,186253.70468930088,-78163.63445739991,108090.07023190097,-2080.8,0.0,106009.27023190097,-50231.78064617298,-20704.162729451025,35073.326856276966
2023-12-01,33,3,2.6666666666666665,2.0,177640.59566676422,-12434.841696673497,165205.7539700907,21640.266005271988,186846.0199753627,-78324.638746638,108521.3812287247,-2080.8,0.0,106440.5812287247,-50154.14003593753,-20781.80333968647,35504.63785310069
2024-01-01,34,3,2.75,2.0,178222.144751732,-12475.550132621242,165746.59461911075,21693.636739185396,187440.23135829615,-78485.97467835067,108954.25667994548,-2080.8,0.0,106873.45667994548,-50076.20827341372,-20859.73510221028,35937.513304321474
2024-02-01,35,3,2.8333333333333335,2.0,178805.59767707458,-12516.391837395222,166289.20583967934,21747.139099726588,188036.34493940594,-78647.6429356671,109388.70200373884,-2080.8,0.0,107307.90200373884,-49997.984266780426,-20937.959108843577,36371.95862811484
