Assumption,Type,IRR_Range,EM_Range,CoC_Range,CompositeRange
closing_costs,Levered,,0.018012575715410595,0.002573225102201482,
gross_potential_rent_per_sf_per_year,Levered,,3.417332336866157,0.48752806530452164,
total_other_income_per_sf_per_year,Levered,,0.4311698832424722,0.061595697606067534,
operating_expenses_per_sf_per_year,Levered,,1.535821915659351,0.21895248647779597,
total_capital_improvements,Levered,,0.012820512820512775,0.001831501831501825,
capital_reserve_per_sf_per_year,Levered,,0.011437359049944362,0.0016339084357063216,
cost_of_sale_percentage,Levered,,0.04363599855913769,0.006233714079876884,
annual_rent_growth_rate,Levered,,2.1124659481645987,0.3017808497377998,
general_vacancy_rate,Levered,,0.3669566082937261,0.05242237261338939,
annual_other_income_growth_rate,Levered,,0.26781812314609343,0.03825973187801329,
annual_expense_growth_rate,Levered,,0.9535708235950855,0.1362244033707265,
capital_reserve_growth_rate,Levered,,0.0034549787726776415,0.0004935683960967663,
exit_cap_rate,Levered,,3.190882394636973,0.45584034209099616,
closing_costs,Unlevered,,0.003532221074477704,0.0005046030106396482,
gross_potential_rent_per_sf_per_year,Unlevered,,1.0594639747513188,0.1513519963930455,
total_other_income_per_sf_per_year,Unlevered,,0.13385572494691655,0.019122246420988143,
operating_expenses_per_sf_per_year,Unlevered,,0.47581316464428536,0.06797330923489792,
total_capital_improvements,Unlevered,,0.003980099502487677,0.0005685856432124936,
capital_reserve_per_sf_per_year,Unlevered,,0.0035507025110272927,0.0005072432158610418,
cost_of_sale_percentage,Unlevered,,0.013546698060150186,0.0019352425800214235,
annual_rent_growth_rate,Unlevered,,0.6558103242063231,0.09368718917233182,
general_vacancy_rate,Unlevered,,0.1139208575001418,0.016274408214305897,
annual_other_income_growth_rate,Unlevered,,0.08314353673789143,0.011877648105413058,
annual_expense_growth_rate,Unlevered,,0.2960339273250412,0.0422905610464345,
capital_reserve_growth_rate,Unlevered,,0.001072590424950448,0.00015322720356431008,
exit_cap_rate,Unlevered,,0.9906022956484932,0.1415146136640706,
